Scenario,label,uri,eia_id,name,utility,sector,description,comments,voltage_category,size flat demand tier (kW),max flat demand tier (kW),min flat demand tier (kW),size TOU demand tier (kW),max TOU demand tier (kW),min TOU demand tier (kW),size energy rate tier (kW),max energy rate tier (kW),min energy rate tier (kW),max energy usage (kWh),min energy usage (kWh),max peak capacity (kW),min peak capacity (kW),approved,start date,end date,supercedes,parent source,min monthly charge ($),annual minimum charge ($),minimum voltage,maximum voltage,phase wiring,demand window (min),demand attributes,additional energy comments,revisions
52,539fc421ec4f024c27d8c363,https://openei.org/apps/USURDB/rate/view/539fc421ec4f024c27d8c363,12312,SCHEDULE MEF FLAT RATE SERVICE-301 - 500 watts,Merced Irrigation District,Commercial,"APPLICABILITY: This schedule is applicable to small,"" constant,"" non*metered incidental loads for utilities,"" state agencies,"" and applicable special districts where the customer owns and maintains the equipment. Such loads would include: Path Lights Irrigation Controllers Cathodic Protection Stations Motor Radial Gates Pressure Point Automatic Watering Systems Traffic Counters Flashing Beacons Sign Illumination Monthly Usage:  102kWh",No comments,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,1,0.0,0.0,1e+99,0,1e+99,0,True,01/01/2010,No end date given,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['06/07/2012 13:57:18', '06/07/2012 13:57:52', '12/07/2012 19:25:40', '05/29/2013 12:45:37', '03/26/2015 15:26:24']"
53,539fc814ec4f024d2f53e2a6,https://openei.org/apps/USURDB/rate/view/539fc814ec4f024d2f53e2a6,12312,SCHEDULE MD-4 MUNICIPAL & NON-PROFIT SMALL DEMAND GENERAL SERVICE,Merced Irrigation District,Industrial,APPLICABILITY: This schedule is offered to municipalities and non*profit organizations having demands of 35 kilowatts or greater in any month during the previous twelve (12) months and less than 500 kilowatts.,No comments,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,2,1000000000.0,1000000000.0,1e+99,0,1e+99,0,True,01/01/2010,No end date given,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['06/07/2012 12:38:47', '06/07/2012 12:40:02', '12/07/2012 21:33:51', '05/29/2013 12:35:01', '03/26/2015 15:26:39']"
54,539fc8c0ec4f024d2f53ea3e,https://openei.org/apps/USURDB/rate/view/539fc8c0ec4f024d2f53ea3e,12312,SCHEDULE MEF FLAT RATE SERVICE-000 - 200 watts,Merced Irrigation District,Commercial,"APPLICABILITY: This schedule is applicable to small,"" constant,"" non*metered incidental loads for utilities,"" state agencies,"" and applicable special districts where the customer owns and maintains the equipment. Such loads would include: Path Lights Irrigation Controllers Cathodic Protection Stations Motor Radial Gates Pressure Point Automatic Watering Systems Traffic Counters Flashing Beacons Sign Illumination Monthly Usage: 26kWh",No comments,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,1,0.0,0.0,1e+99,0,1e+99,0,True,01/01/2010,No end date given,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['06/07/2012 13:39:08', '06/07/2012 13:54:04', '12/08/2012 02:13:43', '05/29/2013 12:38:52', '03/26/2015 15:26:40']"
55,539fca60ec4f024d2f53fb32,https://openei.org/apps/USURDB/rate/view/539fca60ec4f024d2f53fb32,12312,SCHEDULE ED-2P COMMERCIAL / INDUSTRIAL LARGE DEMAND PRIMARY SERVICE,Merced Irrigation District,Industrial,"APPLICABILITY: This schedule is offered to industrial and commercial customers having demands of 1000 kilowatts or greater in any month during the previous twelve (12) months. Customer's delivery voltage must equal or exceed 12,""000 volts.",No comments,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,2,1000000000.0,1000000000.0,1e+99,0,1e+99,0,True,01/01/2010,No end date given,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['06/07/2012 12:14:15', '06/07/2012 12:16:58', '12/07/2012 06:19:34', '05/29/2013 12:18:18', '03/26/2015 15:26:54']"
56,539f6b07ec4f024411ec9745,https://openei.org/apps/USURDB/rate/view/539f6b07ec4f024411ec9745,12745,Schedule FL Flat Rate Service-In Excess of 50% Load Factor 201 - 400 Watt,Modesto Irrigation District,Commercial,"Applicability This Schedule is applicable to small,"" constant,"" non*metered incidental loads for utilities,"" communication agencies,"" state agencies,"" and applicable special districts where the customer owns and maintains the equipment. The customer must supply equipment wattage to the District. Such loads would include: Cathodic Protection Stations Motor Radial Gates Pressure Point Automatic Watering Systems Flashing Beacons Sign Illumination Communication Power Booster Devices Monthly Usage: 197kWh",No comments,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,1,0.0,0.0,1e+99,0,1e+99,0,True,04/01/2013,08/30/2017,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['06/08/2012 09:29:43', '06/08/2012 09:30:16', '12/07/2012 13:18:30', '04/21/2014 10:19:38', '03/26/2015 15:26:53', '06/18/2018 10:30:20']"
57,539f6b43ec4f024411ec9a7d,https://openei.org/apps/USURDB/rate/view/539f6b43ec4f024411ec9a7d,12745,Schedule FL Flat Rate Service-In Excess of 50% Load Factor 0 - 200 Watt,Modesto Irrigation District,Commercial,"Applicability This Schedule is applicable to small,"" constant,"" non*metered incidental loads for utilities,"" communication agencies,"" state agencies,"" and applicable special districts where the customer owns and maintains the equipment. The customer must supply equipment wattage to the District. Such loads would include: Cathodic Protection Stations Motor Radial Gates Pressure Point Automatic Watering Systems Flashing Beacons Sign Illumination Communication Power Booster Devices Monthly Usage: 66kWh",No comments,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,1,0.0,0.0,1e+99,0,1e+99,0,True,04/01/2013,No end date given,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['06/08/2012 09:28:15', '06/08/2012 09:28:51', '12/07/2012 13:09:00', '04/21/2014 10:20:09', '03/26/2015 15:26:22']"
58,539f6ba0ec4f024411ec9f61,https://openei.org/apps/USURDB/rate/view/539f6ba0ec4f024411ec9f61,12745,Schedule FL Flat Rate Service-Not Exceeding 50% Load Factor 1801 - 2000 Watt,Modesto Irrigation District,Commercial,"Applicability This Schedule is applicable to small,"" constant,"" non*metered incidental loads for utilities,"" communication agencies,"" state agencies,"" and applicable special districts where the customer owns and maintains the equipment. The customer must supply equipment wattage to the District. Such loads would include: Cathodic Protection Stations Motor Radial Gates Pressure Point Automatic Watering Systems Flashing Beacons Sign Illumination Communication Power Booster Devices Monthly Usage: 486kWh",No comments,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,1,0.0,0.0,1e+99,0,1e+99,0,True,04/01/2013,08/30/2017,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['06/08/2012 09:21:24', '06/08/2012 09:22:00', '12/07/2012 22:54:08', '04/21/2014 10:24:57', '03/26/2015 15:26:47', '06/19/2018 04:36:11']"
59,539f6d3cec4f024411ecb3a9,https://openei.org/apps/USURDB/rate/view/539f6d3cec4f024411ecb3a9,12745,Schedule FL Flat Rate Service-In Excess of 50% Load Factor 1801 - 2000 Watt,Modesto Irrigation District,Commercial,"Applicability This Schedule is applicable to small,"" constant,"" non*metered incidental loads for utilities,"" communication agencies,"" state agencies,"" and applicable special districts where the customer owns and maintains the equipment. The customer must supply equipment wattage to the District. Such loads would include: Cathodic Protection Stations Motor Radial Gates Pressure Point Automatic Watering Systems Flashing Beacons Sign Illumination Communication Power Booster Devices Monthly Usage: 1248kWh",No comments,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,1,0.0,0.0,1e+99,0,1e+99,0,True,04/01/2013,08/30/2017,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['06/08/2012 09:43:09', '06/08/2012 09:43:41', '12/07/2012 06:53:54', '04/21/2014 10:16:24', '03/26/2015 15:26:58', '06/18/2018 10:42:59']"
60,539f6d9eec4f024411ecb865,https://openei.org/apps/USURDB/rate/view/539f6d9eec4f024411ecb865,12745,Schedule P-4 Interruptible Water Pumping Power Service,Modesto Irrigation District,Industrial,"Applicability This Schedule is applicable to electric service provided to governmental end*use customers that preschedule electricity deliveries with the District and have an average monthly water pumping demand of more than 1,""000 kilowatts. Each eligible customer who chooses to take service under this Schedule is required to enter into a contract with the Modesto Irrigation District (""District"") prior to being served under this Schedule. The customer shall not sell,"" exchange or otherwise provide to any other person or entity electric energy obtained under this Rate.",No comments,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,5,1000000000.0,1000000000.0,1e+99,0,1e+99,0,True,04/01/2013,No end date given,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['06/08/2012 09:53:28', '06/08/2012 09:56:29', '12/07/2012 05:30:44', '08/06/2013 07:18:43', '04/21/2014 10:51:36', '03/26/2015 15:26:38']"
61,539f6f54ec4f024411eccd05,https://openei.org/apps/USURDB/rate/view/539f6f54ec4f024411eccd05,12745,Schedule FL Flat Rate Service-Not Exceeding 50% Load Factor 1001 - 1200 Watt,Modesto Irrigation District,Commercial,"Applicability This Schedule is applicable to small,"" constant,"" non*metered incidental loads for utilities,"" communication agencies,"" state agencies,"" and applicable special districts where the customer owns and maintains the equipment. The customer must supply equipment wattage to the District. Such loads would include: Cathodic Protection Stations Motor Radial Gates Pressure Point Automatic Watering Systems Flashing Beacons Sign Illumination Communication Power Booster Devices Monthly Usage: 282kWh",No comments,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,1,0.0,0.0,1e+99,0,1e+99,0,True,04/01/2013,No end date given,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['06/08/2012 09:13:57', '06/08/2012 09:14:33', '12/07/2012 06:41:50', '04/21/2014 10:23:56', '03/26/2015 15:26:27']"
62,539f6f99ec4f024411ecd07d,https://openei.org/apps/USURDB/rate/view/539f6f99ec4f024411ecd07d,12745,"Schedule GS-TOU General Service - Commercial,"" Time-of-Use",Modesto Irrigation District,Industrial,"Applicability This Schedule is offered as an option to commercial customers having demands from 500 kilowatts up to 1,""000 kilowatts in any month during the previous twelve (12) months.",No comments,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,5,1000000000.0,1000000000.0,1e+99,0,1e+99,0,True,04/01/2013,12/30/2016,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['06/07/2012 14:36:05', '06/07/2012 14:39:40', '12/07/2012 01:52:35', '08/06/2013 07:13:17', '04/21/2014 10:42:20', '03/26/2015 15:26:44', '06/18/2018 08:25:55']"
63,539f7116ec4f024411ece1cf,https://openei.org/apps/USURDB/rate/view/539f7116ec4f024411ece1cf,12745,Schedule FL Flat Rate Service-In Excess of 50% Load Factor 1201 - 1400 Watt,Modesto Irrigation District,Commercial,"Applicability This Schedule is applicable to small,"" constant,"" non*metered incidental loads for utilities,"" communication agencies,"" state agencies,"" and applicable special districts where the customer owns and maintains the equipment. The customer must supply equipment wattage to the District. Such loads would include: Cathodic Protection Stations Motor Radial Gates Pressure Point Automatic Watering Systems Flashing Beacons Sign Illumination Communication Power Booster Devices Monthly Usage: 854kWh",No comments,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,1,0.0,0.0,1e+99,0,1e+99,0,True,04/01/2013,No end date given,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['06/08/2012 09:37:41', '06/08/2012 09:38:17', '12/07/2012 06:53:35', '04/21/2014 10:15:39', '03/26/2015 15:26:22']"
64,539f74e4ec4f024411ed0d79,https://openei.org/apps/USURDB/rate/view/539f74e4ec4f024411ed0d79,12745,Schedule P-3 Water Well Pumping and Agricultural Power Service,Modesto Irrigation District,Industrial,"Applicability This Schedule is applicable to separately metered water well pumping,"" reclamation service,"" and farm use. Lighting and farm use will be provided to the extent permitted in Special Provision 2. This Schedule shall not apply to commercial food or agricultural processing operations,"" machine shops,"" or any other service not connected with the individual farm operation.",No comments,No voltage category given,12,1000000000.0,10.0,1,0.0,0.0,2,1000000000.0,5000.0,1e+99,0,1e+99,0,True,04/01/2013,No end date given,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['06/08/2012 08:45:54', '06/08/2012 08:48:47', '12/07/2012 01:40:18', '08/06/2013 07:17:50', '04/21/2014 10:49:06', '03/26/2015 15:26:59']"
65,539f763eec4f024411ed1d65,https://openei.org/apps/USURDB/rate/view/539f763eec4f024411ed1d65,12745,Schedule FL Flat Rate Service-Not Exceeding 50% Load Factor 401 - 600 Watt,Modesto Irrigation District,Commercial,"Applicability This Schedule is applicable to small,"" constant,"" non*metered incidental loads for utilities,"" communication agencies,"" state agencies,"" and applicable special districts where the customer owns and maintains the equipment. The customer must supply equipment wattage to the District. Such loads would include: Cathodic Protection Stations Motor Radial Gates Pressure Point Automatic Watering Systems Flashing Beacons Sign Illumination Communication Power Booster Devices Monthly Usage: 128kWh",No comments,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,1,0.0,0.0,1e+99,0,1e+99,0,True,04/01/2013,No end date given,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['06/08/2012 09:07:24', '06/08/2012 09:08:56', '12/07/2012 05:31:35', '04/21/2014 10:22:15', '03/26/2015 15:26:20']"
66,539fb5e7ec4f024bc1dbfa8d,https://openei.org/apps/USURDB/rate/view/539fb5e7ec4f024bc1dbfa8d,12745,Schedule GS-3 General Service - Industrial,Modesto Irrigation District,Industrial,"Applicability This Schedule is applicable to industrial customers having demands of 1,""000 kilowatts or greater in any month during the previous twelve (12) months.",No comments,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,5,1000000000.0,1000000000.0,1e+99,0,1e+99,0,True,04/01/2013,12/30/2016,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['06/07/2012 14:41:32', '06/07/2012 14:47:36', '12/08/2012 15:48:41', '08/06/2013 07:13:21', '04/21/2014 10:35:44', '03/26/2015 15:26:44', '06/18/2018 09:21:42']"
67,539fb70fec4f024bc1dc07bb,https://openei.org/apps/USURDB/rate/view/539fb70fec4f024bc1dc07bb,12745,Schedule FL Flat Rate Service-Not Exceeding 50% Load Factor 0 - 200 Watt,Modesto Irrigation District,Commercial,"Applicability This Schedule is applicable to small,"" constant,"" non*metered incidental loads for utilities,"" communication agencies,"" state agencies,"" and applicable special districts where the customer owns and maintains the equipment. The customer must supply equipment wattage to the District. Such loads would include: Cathodic Protection Stations Motor Radial Gates Pressure Point Automatic Watering Systems Flashing Beacons Sign Illumination Communication Power Booster Devices Monthly Usage: 26kWh",No comments,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,1,0.0,0.0,1e+99,0,1e+99,0,True,04/01/2013,No end date given,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['06/08/2012 08:59:19', '06/08/2012 09:02:50', '12/08/2012 02:14:28', '04/21/2014 10:27:48', '03/26/2015 15:26:25']"
68,539fb71eec4f024bc1dc0813,https://openei.org/apps/USURDB/rate/view/539fb71eec4f024bc1dc0813,12745,Schedule FL Flat Rate Service-In Excess of 50% Load Factor 801 - 1000 Watt,Modesto Irrigation District,Commercial,"Applicability This Schedule is applicable to small,"" constant,"" non*metered incidental loads for utilities,"" communication agencies,"" state agencies,"" and applicable special districts where the customer owns and maintains the equipment. The customer must supply equipment wattage to the District. Such loads would include: Cathodic Protection Stations Motor Radial Gates Pressure Point Automatic Watering Systems Flashing Beacons Sign Illumination Communication Power Booster Devices Monthly Usage: 591kWh",No comments,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,1,0.0,0.0,1e+99,0,1e+99,0,True,04/01/2013,08/30/2017,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['06/08/2012 09:34:34', '06/08/2012 09:35:09', '12/08/2012 01:57:54', '04/21/2014 10:17:22', '03/26/2015 15:26:40', '06/19/2018 04:13:20']"
69,539fb869ec4f024bc1dc16e5,https://openei.org/apps/USURDB/rate/view/539fb869ec4f024bc1dc16e5,12745,Schedule FL Flat Rate Service-In Excess of 50% Load Factor 1601 - 1800 Watt,Modesto Irrigation District,Commercial,"Applicability This Schedule is applicable to small,"" constant,"" non*metered incidental loads for utilities,"" communication agencies,"" state agencies,"" and applicable special districts where the customer owns and maintains the equipment. The customer must supply equipment wattage to the District. Such loads would include: Cathodic Protection Stations Motor Radial Gates Pressure Point Automatic Watering Systems Flashing Beacons Sign Illumination Communication Power Booster Devices Monthly Usage: 1117kWh",No comments,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,1,0.0,0.0,1e+99,0,1e+99,0,True,04/01/2013,No end date given,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['06/08/2012 09:40:49', '06/08/2012 09:41:25', '12/08/2012 02:19:32', '04/21/2014 10:18:08', '03/26/2015 15:26:27']"
70,539fb9ebec4f024bc1dc2829,https://openei.org/apps/USURDB/rate/view/539fb9ebec4f024bc1dc2829,12745,Schedule FL Flat Rate Service-Not Exceeding 50% Load Factor 201 - 400 Watt,Modesto Irrigation District,Commercial,"Applicability This Schedule is applicable to small,"" constant,"" non*metered incidental loads for utilities,"" communication agencies,"" state agencies,"" and applicable special districts where the customer owns and maintains the equipment. The customer must supply equipment wattage to the District. Such loads would include: Cathodic Protection Stations Motor Radial Gates Pressure Point Automatic Watering Systems Flashing Beacons Sign Illumination Communication Power Booster Devices Monthly Usage: 77kWh",No comments,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,1,0.0,0.0,1e+99,0,1e+99,0,True,04/01/2013,08/30/2017,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['06/08/2012 09:03:52', '06/08/2012 09:04:46', '12/07/2012 06:00:33', '04/21/2014 10:24:30', '03/26/2015 15:26:42', '06/19/2018 04:54:15']"
71,539fbcbdec4f024c27d87371,https://openei.org/apps/USURDB/rate/view/539fbcbdec4f024c27d87371,12745,Schedule FL Flat Rate Service-Not Exceeding 50% Load Factor 1601 - 1800 Watt,Modesto Irrigation District,Commercial,"Applicability This Schedule is applicable to small,"" constant,"" non*metered incidental loads for utilities,"" communication agencies,"" state agencies,"" and applicable special districts where the customer owns and maintains the equipment. The customer must supply equipment wattage to the District. Such loads would include: Cathodic Protection Stations Motor Radial Gates Pressure Point Automatic Watering Systems Flashing Beacons Sign Illumination Communication Power Booster Devices Monthly Usage: 435kWh",No comments,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,1,0.0,0.0,1e+99,0,1e+99,0,True,04/01/2013,No end date given,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['06/08/2012 09:18:29', '06/08/2012 09:19:06', '12/08/2012 02:27:44', '04/21/2014 10:25:32', '03/26/2015 15:26:30']"
72,539fbdd9ec4f024c27d87fcf,https://openei.org/apps/USURDB/rate/view/539fbdd9ec4f024c27d87fcf,12745,Schedule FL Flat Rate Service-In Excess of 50% Load Factor 1001 - 1200 Watt,Modesto Irrigation District,Commercial,"Applicability This Schedule is applicable to small,"" constant,"" non*metered incidental loads for utilities,"" communication agencies,"" state agencies,"" and applicable special districts where the customer owns and maintains the equipment. The customer must supply equipment wattage to the District. Such loads would include: Cathodic Protection Stations Motor Radial Gates Pressure Point Automatic Watering Systems Flashing Beacons Sign Illumination Communication Power Booster Devices Monthly Usage: 723kWh",No comments,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,1,0.0,0.0,1e+99,0,1e+99,0,True,04/01/2013,08/30/2017,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['06/08/2012 09:35:59', '06/08/2012 09:36:44', '12/07/2012 23:58:56', '04/21/2014 10:13:52', '03/26/2015 15:26:49', '06/19/2018 03:17:56']"
73,539fbe20ec4f024c27d882e9,https://openei.org/apps/USURDB/rate/view/539fbe20ec4f024c27d882e9,12745,Schedule FL Flat Rate Service-In Excess of 50% Load Factor 401 - 600 Watt,Modesto Irrigation District,Commercial,"Applicability This Schedule is applicable to small,"" constant,"" non*metered incidental loads for utilities,"" communication agencies,"" state agencies,"" and applicable special districts where the customer owns and maintains the equipment. The customer must supply equipment wattage to the District. Such loads would include: Cathodic Protection Stations Motor Radial Gates Pressure Point Automatic Watering Systems Flashing Beacons Sign Illumination Communication Power Booster Devices Monthly Usage: 329kWh",No comments,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,1,0.0,0.0,1e+99,0,1e+99,0,True,04/01/2013,08/30/2017,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['06/08/2012 09:31:24', '06/08/2012 09:31:59', '12/08/2012 01:55:03', '04/21/2014 10:15:01', '03/26/2015 15:26:53', '06/18/2018 10:37:38']"
74,539fbf0fec4f024c27d88d5b,https://openei.org/apps/USURDB/rate/view/539fbf0fec4f024c27d88d5b,12745,Schedule FL Flat Rate Service-Not Exceeding 50% Load Factor 1201 - 1400 Watt,Modesto Irrigation District,Commercial,"Applicability This Schedule is applicable to small,"" constant,"" non*metered incidental loads for utilities,"" communication agencies,"" state agencies,"" and applicable special districts where the customer owns and maintains the equipment. The customer must supply equipment wattage to the District. Such loads would include: Cathodic Protection Stations Motor Radial Gates Pressure Point Automatic Watering Systems Flashing Beacons Sign Illumination Communication Power Booster Devices Monthly Usage: 333kWh",No comments,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,1,0.0,0.0,1e+99,0,1e+99,0,True,04/01/2013,No end date given,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['06/08/2012 09:15:23', '06/08/2012 09:16:09', '12/07/2012 06:45:45', '04/21/2014 10:26:45', '04/21/2014 10:27:10', '03/26/2015 15:26:27']"
75,539fc043ec4f024c27d89a21,https://openei.org/apps/USURDB/rate/view/539fc043ec4f024c27d89a21,12745,Schedule IC-25 2005 Industrial Contract: 2005-2012 25 MW Minimum Demand,Modesto Irrigation District,Industrial,"Applicability A) This Schedule is applicable to industrial customers having demands of 25,""000 kilowatts or greater in the District's service territory in any month during the calendar year 2004,"" or in the case of a new customer estimated demands of 25,""000 kW or greater in the District's service territory. B) Service provided hereunder shall not be sold for resale or exchange or shared with others. Service provided hereunder shall not be used in parallel with other sources of electric power,"" except service may be used in parallel with co*generation equipment that was in commercial operation at its present site prior to December 20,"" 1995. Customer may operate emergency standby generation equipment during outages of District electric service,"" during a District requested Interruptible Demand period as specified in Special Provision 10,"" and as reasonably necessary to test and maintain the emergency standby generation equipment. C) Prior to the provision of service hereunder,"" the customer shall be required to apply for IC*25 2005 Power Electric Service (hereinafter,"" ""Application for Service"") on the form prescribed in the General Terms and Conditions and Special Provisions which may be modified by the District from time to time. Base Demand Charge per month:(for first 25,""000 kW of Firm Contract Demand) $409,""849 Firm Contract Demand Charge per kW per month:(Firm Contract Demand in excess of 25,""000 kW and not more than 40,""000 kW) $15.94 Excess Demand Charge per kW per month:(Demand in excess of Base and Firm Contract Demand) $16.70",No comments,No voltage category given,12,1000000000.0,25000.0,1,0.0,0.0,5,1000000000.0,1000000000.0,1e+99,0,1e+99,0,True,04/01/2013,12/30/2016,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['06/07/2012 15:06:44', '06/07/2012 15:10:20', '12/07/2012 02:23:15', '05/21/2013 10:10:32', '08/05/2013 14:18:04', '08/06/2013 07:13:25', '04/21/2014 10:46:46', '03/26/2015 15:26:30', '06/18/2018 09:29:08']"
76,539fc216ec4f024c27d8adc3,https://openei.org/apps/USURDB/rate/view/539fc216ec4f024c27d8adc3,12745,Schedule FL Flat Rate Service-Not Exceeding 50% Load Factor 1401 - 1600 Watt,Modesto Irrigation District,Commercial,"Applicability This Schedule is applicable to small,"" constant,"" non*metered incidental loads for utilities,"" communication agencies,"" state agencies,"" and applicable special districts where the customer owns and maintains the equipment. The customer must supply equipment wattage to the District. Such loads would include: Cathodic Protection Stations Motor Radial Gates Pressure Point Automatic Watering Systems Flashing Beacons Sign Illumination Communication Power Booster Devices Monthly Usage: 384kWh",No comments,No voltage category given,12,1000000000.0,1000000000.0,1,0.0,0.0,1,0.0,0.0,1e+99,0,1e+99,0,True,04/01/2013,No end date given,No supercedes item given,No parent source given,No minimum monthly charge given,No annual minimum charge given,No voltage minimum given,No voltage maximum given,No phase wiring information given,No demand window given,No additional demand attributes given,No additional energy comments given,"['06/08/2012 09:17:06', '06/08/2012 09:17:42', '12/08/2012 01:01:00', '04/21/2014 10:21:22', '03/26/2015 15:26:33']"
